reviewerID,asin,reviewerName,reviewText,unixReviewTime,reviewTime,day_diff,helpful_yes,total_vote
R3USOCENPF,B0WQWWGQVM,Mariana Silva,"Produto veio com defeito, precisei trocar.",1691884800,"08 13, 2023",772,1,6
RGR5P1GCUJ,B0OF40BDPD,João Pereira,Atendeu às necessidades do meu escritório.,1612656000,"02 07, 2021",1689,5,8
R2UX1SEQJ4,B0BLWU3JEB,Ana Costa,"Bateria dura pouco, não recomendo para quem usa muito.",1520208000,"03 05, 2018",2759,3,6
RS195NUX8O,B0K28NJJ9A,Carlos Souza,"Produto veio com defeito, precisei trocar.",1693699200,"09 03, 2023",751,2,10
RA5VMW13XY,B0Q8ZN182T,Beatriz Lima,Ruim para longos períodos de uso.,1597881600,"08 20, 2020",1860,9,15
R1EGGXOYMF,B03A8KXNV1,Rafael Oliveira,Recomendado para uso doméstico.,1565395200,"08 10, 2019",2236,3,7
RLEILTNJAX,B043PXGMCY,Fernanda Rocha,"Funciona bem, mas poderia ser mais silencioso.",1571443200,"10 19, 2019",2166,7,8
RK5323HP0N,B065SQKGQ1,Pedro Alves,"Design bonito, material resistente.",1626220800,"07 14, 2021",1532,1,2
R58R3O6ZDK,B06TT04IDX,Luisa Mendes,"Perfeito para presentes, veio bem embalado.",1571097600,"10 15, 2019",2170,3,4
RDNLSYY265,B0DSARW4HQ,Gustavo Ribeiro,A cor não é exatamente como nas fotos.,1583280000,"03 04, 2020",2029,1,1
RVDA66SF43,B0UH3GWEP9,Marcio Barbosa,Recomendado para uso doméstico.,1598745600,"08 30, 2020",1850,0,7
RLBR8Z8FYR,B0L51I5XAX,Paula Nunes,"Funciona bem, mas poderia ser mais silencioso.",1652054400,"05 09, 2022",1233,11,15
RFXC2JEL2M,B0A9VR5F44,Rodrigo Martins,"Somente aceitável, nada de especial.",1592697600,"06 21, 2020",1920,0,6
R35HEMVJ5U,B0LP61M3WZ,Camila Fernandes,"Ótimo produto, chegou no prazo e funciona como descrito.",1613174400,"02 13, 2021",1683,1,5
REWVICI87L,B01QGIQIL5,Bruno Castro,"Fácil de usar e configurar, muito satisfeito.",1590451200,"05 26, 2020",1946,7,12
R6WOS91QYT,B06EZ8AMTU,Sofia Ribeiro,Produtividade aumentou depois que comprei.,1674518400,"01 24, 2023",973,4,5
R3M5EM3639,B02LXKS1QA,Daniel Moreira,Perdeu a funcionalidade após 6 meses.,1713571200,"04 20, 2024",521,0,0
R5E2ZFVA4W,B0CONX4F9U,Isabela Cardoso,"Funciona, mas com limitações.",1680998400,"04 09, 2023",898,4,6
RAYRO48EBC,B0OUBEWQYK,Thiago Dias,"Ótimo acabamento, acabamento impecável.",1596844800,"08 08, 2020",1872,0,4
RWX36SLFXG,B0BC4E8PY1,Larissa Gomes,Tamanho menor do que eu imaginei.,1724976000,"08 30, 2024",389,4,7
RBJX5VTEQO,B0V16ITQU7,Felipe Araujo,"Fácil instalação, não precisei de ajuda técnica.",1664928000,"10 05, 2022",1084,1,2
R77YYGYQ42,B0PTUCWHG6,Clara Pinto,O atendimento ao cliente deixou a desejar.,1531267200,"07 11, 2018",2631,1,1
RPFHBGRHZA,B03HKAMVB7,André Carvalho,"Design bonito, material resistente.",1719100800,"06 23, 2024",457,2,4
RSNW93ZH6B,B0FWPJT8AO,Renata Moraes,Perdeu a funcionalidade após 6 meses.,1521244800,"03 17, 2018",2747,4,4
R2XDKSTWYL,B0PDNSVX66,Vitor Lopes,"Bateria dura pouco, não recomendo para quem usa muito.",1528675200,"06 11, 2018",2661,1,2
RX5HFRJBTB,B0T0HMKOEI,Helena Ramos,"Somente aceitável, nada de especial.",1533600000,"08 07, 2018",2604,12,15
RSDYCIOYIT,B06C16KH51,Lucas Fonseca,Excelente custo-benefício. Recomendo!,1535932800,"09 03, 2018",2577,3,5
RV86XB0S1J,B04WLPKIX4,Gabriela Santana,Atendeu às necessidades do meu escritório.,1528761600,"06 12, 2018",2660,0,1
RWX1T62KVT,B0HMBHII8Z,Mateus Teixeira,Aprovado! Uso diariamente e continua ótimo.,1711756800,"03 30, 2024",542,0,0
R1GRUW02BY,B07KL9U123,Bianca Duarte,"Não gostei da qualidade, esperava mais pelo preço.",1599523200,"09 08, 2020",1841,1,4
RVXOPS4ETW,B0Z5B8UJ92,Igor Santana,"A embalagem estava danificada, porém o produto funcionou.",1615075200,"03 07, 2021",1661,0,0
RHOYOBEB7G,B0ITTSCEYK,Carla Mota,"Design bonito, material resistente.",1620777600,"05 12, 2021",1595,2,7
R6CFT7TQ25,B0QTI9RVFB,Eduardo Pires,Aprovado! Uso diariamente e continua ótimo.,1728432000,"10 09, 2024",349,3,12
RBUZLW8GUL,B06Y0AN560,Patrícia Faria,"Fácil de usar e configurar, muito satisfeito.",1660694400,"08 17, 2022",1133,2,4
RH5GF7F8PZ,B0XK2SY8LI,Leandro Reis,"Não gostei da qualidade, esperava mais pelo preço.",1567209600,"08 31, 2019",2215,0,4
RDDBON51D2,B0PESWA4QT,Suelen Braga,Fácil de limpar e manter.,1519257600,"02 22, 2018",2770,0,4
RSASB11H49,B0GMDR398H,Marcelo Freitas,Excelente custo-benefício. Recomendo!,1585008000,"03 24, 2020",2009,0,1
REXTKYE0HW,B0T6LO34OJ,Adriana Coelho,"Design bonito, material resistente.",1654300800,"06 04, 2022",1207,7,8
RSRIT1CJ3I,B0B6IEER9Q,Fábio Nogueira,"O manual é confuso, tive que procurar tutoriais.",1701561600,"12 03, 2023",660,0,0
RMCPCGENP6,B0C6D9T0Z1,Natália Silveira,"Produto veio com defeito, precisei trocar.",1590364800,"05 25, 2020",1947,1,5
